时间,次数,架号,检测值
2022-11-02 13:02:19.109055,1,1,17975968
2022-11-02 13:02:19.110055,1,2,18110356
2022-11-02 13:02:19.110055,1,3,18117941
2022-11-02 13:02:19.111054,1,4,18096206
2022-11-02 13:02:19.111054,1,5,18106829
2022-11-02 13:02:19.112053,1,6,9187.9873046875
2022-11-02 13:02:19.112053,1,7,59390.0
2022-11-02 13:02:19.113053,1,8,12713.5615234375
2022-11-02 13:02:19.113053,1,9,69387.046875
2022-11-02 13:02:22.584313,2,2,18135766
2022-11-02 13:02:26.027587,3,2,18147226
2022-11-02 13:02:27.409895,4,2,18151813
2022-11-02 13:02:28.740228,5,2,18156231
2022-11-02 13:02:29.044077,2,4,18157246
2022-11-02 13:02:30.054569,6,2,18160615
2022-11-02 13:02:31.376907,7,2,18165021
2022-11-02 13:02:32.291451,2,5,18168067
2022-11-02 13:02:32.692248,8,2,18169403
2022-11-02 13:02:34.023580,9,2,18173834
2022-11-02 13:02:35.258963,2,3,18177945
2022-11-02 13:02:35.587797,3,3,18179039
2022-11-02 13:02:35.636774,4,3,18179200
2022-11-02 13:02:36.486348,10,2,18182032
2022-11-02 13:02:38.914130,11,2,18190156
2022-11-02 13:02:41.343912,12,2,18198303
2022-11-02 13:02:43.778692,13,2,18206471
2022-11-02 13:02:46.216470,14,2,18214650
2022-11-02 13:02:46.410375,2,6,8825.6748046875
2022-11-02 13:02:47.477840,3,4,18218866
2022-11-02 13:02:48.671251,15,2,18222865
2022-11-02 13:02:48.857159,3,6,9029.724609375
2022-11-02 13:02:49.488849,2,1,18225575
2022-11-02 13:02:50.681263,3,5,18229554
2022-11-02 13:02:50.795207,3,1,18229955
2022-11-02 13:02:51.083065,16,2,18230919
2022-11-02 13:02:51.276970,4,6,9024.8251953125
2022-11-02 13:02:52.110561,4,1,18234340
2022-11-02 13:02:53.451903,5,1,18238767
2022-11-02 13:02:53.514872,17,2,18239007
2022-11-02 13:02:53.704778,5,6,9014.6123046875
2022-11-02 13:02:53.755754,5,3,18239806
2022-11-02 13:02:54.083593,6,3,18240899
2022-11-02 13:02:54.133567,7,3,18241059
2022-11-02 13:02:54.765257,6,1,18243162
2022-11-02 13:02:54.831224,18,2,18243374
2022-11-02 13:02:55.022133,6,6,9014.6865234375
2022-11-02 13:02:56.080612,7,1,18247528
2022-11-02 13:02:56.143582,19,2,18247743
2022-11-02 13:02:56.334485,7,6,9004.625
2022-11-02 13:02:57.392965,8,1,18251888
2022-11-02 13:02:57.459934,20,2,18252101
2022-11-02 13:02:58.709320,9,1,18256247
2022-11-02 13:02:58.772288,21,2,18256462
2022-11-02 13:02:58.965194,8,6,9004.775390625
2022-11-02 13:03:00.023675,10,1,18260612
2022-11-02 13:03:00.097639,22,2,18260823
2022-11-02 13:03:00.290543,9,6,9005.099609375
2022-11-02 13:03:01.340026,11,1,18264975
2022-11-02 13:03:01.409992,23,2,18265215
2022-11-02 13:03:01.593902,10,6,9005.375
2022-11-02 13:03:02.662379,12,1,18269359
2022-11-02 13:03:02.725347,24,2,18269571
2022-11-02 13:03:02.917251,11,6,9005.5615234375
2022-11-02 13:03:03.977730,13,1,18273716
2022-11-02 13:03:04.046697,25,2,18273954
2022-11-02 13:03:05.293086,14,1,18278065
2022-11-02 13:03:05.370046,26,2,18278332
2022-11-02 13:03:05.883794,4,4,18280035
2022-11-02 13:03:06.608440,15,1,18282434
2022-11-02 13:03:06.684401,27,2,18282700
2022-11-02 13:03:06.872310,12,6,9005.2998046875
2022-11-02 13:03:07.921796,16,1,18286814
2022-11-02 13:03:08.006751,28,2,18287083
2022-11-02 13:03:08.185663,13,6,9005.2373046875
2022-11-02 13:03:09.125203,4,5,18290800
2022-11-02 13:03:09.241145,17,1,18291227
2022-11-02 13:03:09.314109,29,2,18291468
2022-11-02 13:03:10.559498,18,1,18295617
2022-11-02 13:03:10.629462,30,2,18295858
2022-11-02 13:03:10.814372,14,6,9060.0869140625
2022-11-02 13:03:11.873851,19,1,18300005
2022-11-02 13:03:12.185698,8,3,18301020
2022-11-02 13:03:12.506540,9,3,18302118
2022-11-02 13:03:12.554518,10,3,18302277
2022-11-02 13:03:13.190205,20,1,18304391
2022-11-02 13:03:14.501560,21,1,18308789
2022-11-02 13:03:15.818915,22,1,18313183
2022-11-02 13:03:17.135269,23,1,18317572
2022-11-02 13:03:18.449623,24,1,18321955
2022-11-02 13:03:18.920390,31,2,18323529
2022-11-02 13:03:19.113295,15,6,9064.375
2022-11-02 13:03:19.784965,25,1,18326407
2022-11-02 13:03:20.236742,32,2,18327898
2022-11-02 13:03:21.100318,26,1,18330782
2022-11-02 13:03:21.551097,33,2,18332280
2022-11-02 13:03:21.740004,16,6,9013.287109375
2022-11-02 13:03:22.417671,27,1,18335167
2022-11-02 13:03:22.873447,34,2,18336663
2022-11-02 13:03:23.746020,28,1,18339547
2022-11-02 13:03:24.174809,35,2,18341018
2022-11-02 13:03:24.276758,5,4,18341365
2022-11-02 13:03:24.364714,17,6,9014.3369140625
2022-11-02 13:03:25.045381,29,1,18343931
2022-11-02 13:03:25.455181,36,2,18345293
2022-11-02 13:03:25.639090,18,6,9070.7119140625
2022-11-02 13:03:26.367730,30,1,18348308
2022-11-02 13:03:27.514167,5,5,18352150
2022-11-02 13:03:27.675088,31,1,18352684
2022-11-02 13:03:28.992443,32,1,18357067
2022-11-02 13:03:30.307796,33,1,18361458
2022-11-02 13:03:30.601651,11,3,18362447
2022-11-02 13:03:30.945481,12,3,18363545
2022-11-02 13:03:30.978465,13,3,18363705
2022-11-02 13:03:31.636145,34,1,18365849
2022-11-02 13:03:32.935503,35,1,18370247
2022-11-02 13:03:34.251859,36,1,18374642
2022-11-02 13:03:35.573208,37,1,18379067
2022-11-02 13:03:36.886562,38,1,18383475
2022-11-02 13:03:38.201916,39,1,18387871
2022-11-02 13:03:39.519269,40,1,18392265
2022-11-02 13:03:40.838622,41,1,18396649
2022-11-02 13:03:42.146978,42,1,18401025
2022-11-02 13:03:42.732692,6,4,18402971
2022-11-02 13:03:43.460333,43,1,18405401
2022-11-02 13:03:44.780687,44,1,18409774
2022-11-02 13:03:45.916128,6,5,18413554
2022-11-02 13:03:46.091041,45,1,18414140
2022-11-02 13:03:47.408395,46,1,18418505
2022-11-02 13:03:48.721748,47,1,18422866
2022-11-02 13:03:48.984619,14,3,18423741
2022-11-02 13:03:49.316457,15,3,18424831
2022-11-02 13:03:49.362433,16,3,18424992
2022-11-02 13:03:50.046099,48,1,18427222
2022-11-02 13:03:51.351457,49,1,18431596
2022-11-02 13:03:52.668810,50,1,18435969
2022-11-02 13:03:53.989160,51,1,18440351
2022-11-02 13:03:55.307512,52,1,18444759
2022-11-02 13:03:56.618870,53,1,18449140
2022-11-02 13:03:57.927226,54,1,18453496
2022-11-02 13:03:59.247577,55,1,18457914
2022-11-02 13:04:00.571928,56,1,18462320
2022-11-02 13:04:01.204618,7,4,18464432
2022-11-02 13:04:01.892277,57,1,18466726
2022-11-02 13:04:03.208631,58,1,18471099
2022-11-02 13:04:04.331081,7,5,18474827
2022-11-02 13:04:04.530981,59,1,18475490
2022-11-02 13:04:05.846335,60,1,18479866
2022-11-02 13:04:07.161689,61,1,18484239
2022-11-02 13:04:07.392575,17,3,18485012
2022-11-02 13:04:07.720414,18,3,18486107
2022-11-02 13:04:07.770390,19,3,18486266
2022-11-02 13:04:08.483040,62,1,18488641
2022-11-02 13:04:09.809389,63,1,18493018
2022-11-02 13:04:11.122743,64,1,18497425
2022-11-02 13:04:12.438098,65,1,18501807
2022-11-02 13:04:13.618516,66,1,18506270
2022-11-02 13:04:14.158251,67,1,18510742
2022-11-02 13:04:14.533069,68,1,18515179
2022-11-02 13:04:14.832920,69,1,18519706
2022-11-02 13:04:15.088794,70,1,18524113
