时间,次数,架号,检测值
2022-11-04 12:54:29.405760,1,1,566932
2022-11-04 12:54:29.406758,1,2,489781
2022-11-04 12:54:29.406758,1,3,1494576
2022-11-04 12:54:29.407757,1,4,1490701
2022-11-04 12:54:29.407757,1,5,551135
2022-11-04 12:54:29.408755,1,6,8949.6748046875
2022-11-04 12:54:29.408755,1,7,59311.4765625
2022-11-04 12:54:29.408755,1,8,13013.0498046875
2022-11-04 12:54:29.409753,1,9,69396.8203125
2022-11-04 13:03:50.156668,2,4,10680
2022-11-04 13:03:51.334271,2,3,14669
2022-11-04 13:03:55.432925,3,4,28475
2022-11-04 13:03:56.636476,3,3,32489
2022-11-04 13:03:57.922856,2,5,36746
2022-11-04 13:04:00.693218,4,4,45922
2022-11-04 13:04:01.892775,4,3,49875
2022-11-04 13:04:05.993426,5,4,63473
2022-11-04 13:04:07.162045,5,3,67361
2022-11-04 13:04:11.244734,6,4,80969
2022-11-04 13:04:12.410359,6,3,84868
2022-11-04 13:04:16.350339,3,5,97924
2022-11-04 13:04:16.488059,7,4,98401
2022-11-04 13:04:17.647695,7,3,102259
2022-11-04 13:04:21.722399,8,4,115865
2022-11-04 13:04:22.921957,8,3,119887
2022-11-04 13:04:23.692389,2,1,122429
2022-11-04 13:04:25.012700,3,1,126873
2022-11-04 13:04:26.342994,4,1,131290
2022-11-04 13:04:26.973709,9,4,133433
2022-11-04 13:04:27.646339,5,1,135680
2022-11-04 13:04:28.214182,9,3,137577
2022-11-04 13:04:28.961662,6,1,140062
2022-11-04 13:04:30.285964,7,1,144444
2022-11-04 13:04:31.584320,8,1,148819
2022-11-04 13:04:32.237989,10,4,151009
2022-11-04 13:04:33.481459,10,3,155158
2022-11-04 13:04:34.018364,9,1,156952
2022-11-04 13:04:34.754866,4,5,159387
2022-11-04 13:04:36.459394,10,1,165115
2022-11-04 13:04:37.499277,11,4,168600
2022-11-04 13:04:38.771686,11,3,172868
2022-11-04 13:04:38.892442,11,1,173272
2022-11-04 13:04:41.329481,12,1,181469
2022-11-04 13:04:42.741603,12,4,186236
2022-11-04 13:04:43.751547,13,1,189626
2022-11-04 13:04:44.009023,12,3,190488
2022-11-04 13:04:46.184593,14,1,197786
2022-11-04 13:04:47.985926,13,4,203828
2022-11-04 13:04:48.620633,15,1,205946
2022-11-04 13:04:49.284282,13,3,208165
2022-11-04 13:04:51.057672,16,1,214061
2022-11-04 13:04:52.367006,17,1,218421
2022-11-04 13:04:53.118476,5,5,220920
2022-11-04 13:04:53.236236,14,4,221318
2022-11-04 13:04:53.676340,18,1,222779
2022-11-04 13:04:54.601458,14,3,225836
2022-11-04 13:04:55.001645,19,1,227140
2022-11-04 13:04:56.303991,20,1,231504
2022-11-04 13:04:57.620312,21,1,235861
2022-11-04 13:04:58.576363,15,4,239048
2022-11-04 13:04:58.929645,22,1,240215
2022-11-04 13:04:59.873723,15,3,243349
2022-11-04 13:05:00.240974,23,1,244571
2022-11-04 13:05:01.555298,24,1,248926
2022-11-04 13:05:02.868624,25,1,253305
2022-11-04 13:05:03.821684,16,4,256481
2022-11-04 13:05:04.187938,26,1,257709
2022-11-04 13:05:05.125030,16,3,260809
2022-11-04 13:05:05.503262,27,1,262092
2022-11-04 13:05:06.821577,28,1,266472
2022-11-04 13:05:08.135900,29,1,270881
2022-11-04 13:05:09.054030,17,4,273951
2022-11-04 13:05:09.449227,30,1,275265
2022-11-04 13:05:10.352387,17,3,278292
2022-11-04 13:05:10.759558,31,1,279656
2022-11-04 13:05:11.618808,6,5,282489
2022-11-04 13:05:12.091849,32,1,284037
2022-11-04 13:05:13.388208,33,1,288414
2022-11-04 13:05:14.305338,18,4,291484
2022-11-04 13:05:14.707521,34,1,292792
2022-11-04 13:05:15.634633,18,3,295857
2022-11-04 13:05:16.013862,35,1,297163
2022-11-04 13:05:17.326189,36,1,301550
2022-11-04 13:05:18.638516,37,1,305936
2022-11-04 13:05:19.583602,19,4,309069
2022-11-04 13:05:19.958829,38,1,310326
2022-11-04 13:05:20.870972,19,3,313405
2022-11-04 13:05:21.273152,39,1,314747
2022-11-04 13:05:22.582486,40,1,319141
2022-11-04 13:05:23.895813,41,1,323541
2022-11-04 13:05:24.830908,20,4,326662
2022-11-04 13:05:25.211134,42,1,327950
2022-11-04 13:05:26.125274,20,3,331017
2022-11-04 13:05:26.524460,43,1,332361
2022-11-04 13:05:27.841778,44,1,336764
2022-11-04 13:05:29.149116,45,1,341171
2022-11-04 13:05:30.060261,21,4,344225
2022-11-04 13:05:30.095191,7,5,344333
2022-11-04 13:05:30.460447,46,1,345562
2022-11-04 13:05:31.366601,21,3,348596
2022-11-04 13:05:31.783754,47,1,349964
2022-11-04 13:05:33.089094,48,1,354359
2022-11-04 13:05:34.410406,49,1,358749
2022-11-04 13:05:35.351488,22,4,361927
2022-11-04 13:05:35.713750,50,1,363130
2022-11-04 13:05:36.623897,22,3,366175
2022-11-04 13:05:37.029074,51,1,367507
2022-11-04 13:05:38.339404,52,1,371877
2022-11-04 13:05:39.659719,53,1,376262
2022-11-04 13:05:40.611778,23,4,379467
2022-11-04 13:05:40.965060,54,1,380643
2022-11-04 13:05:41.875206,23,3,383685
2022-11-04 13:05:42.283376,55,1,385019
2022-11-04 13:05:43.589714,56,1,389396
2022-11-04 13:05:44.905037,57,1,393771
2022-11-04 13:05:45.896019,24,4,397083
2022-11-04 13:05:46.227348,58,1,398154
2022-11-04 13:05:47.120526,24,3,401174
2022-11-04 13:05:47.473808,25,3,402349
2022-11-04 13:05:47.529694,59,1,402538
2022-11-04 13:05:48.499720,8,5,405772
2022-11-04 13:05:48.849006,60,1,406918
2022-11-04 13:05:50.154350,61,1,411292
2022-11-04 13:05:51.280057,25,4,415052
2022-11-04 13:05:51.474660,62,1,415691
2022-11-04 13:05:52.370838,26,3,418670
2022-11-04 13:05:52.619330,27,3,419497
2022-11-04 13:05:52.724117,28,3,419844
2022-11-04 13:05:52.787987,63,1,420056
2022-11-04 13:05:54.102310,64,1,424429
2022-11-04 13:05:55.415638,65,1,428801
2022-11-04 13:05:56.524379,26,4,432506
2022-11-04 13:05:56.731956,66,1,433198
2022-11-04 13:05:57.632125,29,3,436183
2022-11-04 13:05:57.879622,30,3,437012
2022-11-04 13:05:57.943490,31,3,437224
2022-11-04 13:05:57.981413,32,3,437358
2022-11-04 13:05:58.047278,67,1,437570
2022-11-04 13:05:59.366593,68,1,441967
2022-11-04 13:06:00.671935,69,1,446315
2022-11-04 13:06:01.808622,27,4,450111
2022-11-04 13:06:01.984263,70,1,450701
2022-11-04 13:06:02.880439,33,3,453698
2022-11-04 13:06:03.128932,34,3,454529
2022-11-04 13:06:03.160867,35,3,454635
2022-11-04 13:06:03.193802,36,3,454742
2022-11-04 13:06:03.248688,37,3,454877
2022-11-04 13:06:03.297589,71,1,455088
2022-11-04 13:06:04.609917,72,1,459477
2022-11-04 13:06:05.926237,73,1,463864
2022-11-04 13:06:06.884286,9,5,467073
2022-11-04 13:06:07.071907,28,4,467688
2022-11-04 13:06:07.239565,74,1,468251
2022-11-04 13:06:08.188630,38,3,471442
2022-11-04 13:06:08.446106,39,3,472271
2022-11-04 13:06:08.467063,40,3,472377
2022-11-04 13:06:08.500994,41,3,472487
2022-11-04 13:06:08.548897,42,3,472646
2022-11-04 13:06:08.556881,75,1,472646
2022-11-04 13:06:09.865218,76,1,477046
2022-11-04 13:06:11.177546,77,1,481439
2022-11-04 13:06:12.312236,29,4,485243
2022-11-04 13:06:12.496860,78,1,485835
2022-11-04 13:06:13.439938,43,3,489020
2022-11-04 13:06:13.687434,44,3,489849
2022-11-04 13:06:13.719370,45,3,489956
2022-11-04 13:06:13.750306,46,3,490064
2022-11-04 13:06:13.793219,47,3,490195
2022-11-04 13:06:13.799207,79,1,490222
2022-11-04 13:06:14.319149,2,2,491961
2022-11-04 13:06:15.008744,80,1,494603
2022-11-04 13:06:15.322106,3,2,496498
2022-11-04 13:06:15.628486,81,1,498937
2022-11-04 13:06:15.809115,4,2,501044
2022-11-04 13:06:15.969788,30,4,502973
2022-11-04 13:06:16.001725,82,1,503383
2022-11-04 13:06:16.164393,5,2,505455
2022-11-04 13:06:16.242234,48,3,506744
2022-11-04 13:06:16.306103,83,1,507722
2022-11-04 13:06:16.443824,6,2,509919
2022-11-04 13:06:16.571562,84,1,512124
2022-11-04 13:06:16.697306,7,2,514470
2022-11-04 13:06:16.810077,85,1,516473
2022-11-04 13:06:16.921849,8,2,518902
2022-11-04 13:06:17.009671,31,4,520765
2022-11-04 13:06:17.019651,86,1,520933
2022-11-04 13:06:17.170345,49,3,524315
2022-11-04 13:06:17.220243,87,1,525423
2022-11-04 13:06:17.290099,9,2,527119
2022-11-04 13:06:17.369937,10,5,529055
2022-11-04 13:06:17.405865,88,1,529842
2022-11-04 13:06:17.572524,89,1,534135
2022-11-04 13:06:17.619429,10,2,535404
2022-11-04 13:06:17.731201,32,4,538440
2022-11-04 13:06:17.739185,90,1,538658
2022-11-04 13:06:17.864929,50,3,542263
2022-11-04 13:06:17.897862,91,1,542955
2022-11-04 13:06:17.924808,11,2,543652
2022-11-04 13:06:18.050551,92,1,547695
2022-11-04 13:06:18.188273,12,2,551887
2022-11-04 13:06:18.197254,93,1,552135
2022-11-04 13:06:18.322997,33,4,556205
2022-11-04 13:06:18.338964,94,1,556716
2022-11-04 13:06:18.436767,51,3,559834
2022-11-04 13:06:18.446746,13,2,560097
2022-11-04 13:06:18.477685,95,1,561140
2022-11-04 13:06:18.611409,96,1,565371
2022-11-04 13:06:18.691247,14,2,568307
2022-11-04 13:06:18.747134,97,1,569915
2022-11-04 13:06:18.858907,34,4,573962
2022-11-04 13:06:18.884853,98,1,574230
2022-11-04 13:06:18.947724,15,2,576659
2022-11-04 13:06:18.972674,52,3,577741
2022-11-04 13:06:19.006605,99,1,578817
2022-11-04 13:06:19.132348,100,1,583135
2022-11-04 13:06:19.179253,16,2,584760
2022-11-04 13:06:19.269072,101,1,587726
2022-11-04 13:06:19.315975,17,2,589339
2022-11-04 13:06:19.356891,11,5,590689
2022-11-04 13:06:19.386830,35,4,591765
2022-11-04 13:06:19.394814,102,1,592029
2022-11-04 13:06:19.443715,18,2,593650
2022-11-04 13:06:19.500601,53,3,595274
2022-11-04 13:06:19.533533,103,1,596351
2022-11-04 13:06:19.586424,19,2,598244
2022-11-04 13:06:19.658278,104,1,600940
2022-11-04 13:06:19.713166,20,2,602562
2022-11-04 13:06:19.796997,105,1,605258
2022-11-04 13:06:19.834918,21,2,606880
2022-11-04 13:06:19.916751,36,4,609579
2022-11-04 13:06:19.929725,106,1,609843
2022-11-04 13:06:19.973637,22,2,611462
2022-11-04 13:06:20.019543,54,3,613077
2022-11-04 13:06:20.054471,107,1,614152
2022-11-04 13:06:20.098381,23,2,615767
2022-11-04 13:06:20.235104,24,2,620353
2022-11-04 13:06:20.301969,108,1,622512
2022-11-04 13:06:20.363841,25,2,624671
2022-11-04 13:06:20.445675,37,4,627367
2022-11-04 13:06:20.493578,26,2,628986
2022-11-04 13:06:20.549465,55,3,630872
2022-11-04 13:06:20.629301,27,2,633568
2022-11-04 13:06:20.759037,28,2,637874
2022-11-04 13:06:20.891766,29,2,642449
2022-11-04 13:06:20.964618,109,1,644879
2022-11-04 13:06:20.974598,38,4,645148
2022-11-04 13:06:21.029488,30,2,646765
2022-11-04 13:06:21.076391,56,3,648654
2022-11-04 13:06:21.148244,31,2,651078
2022-11-04 13:06:21.188163,12,5,652427
2022-11-04 13:06:21.285964,32,2,655660
2022-11-04 13:06:21.412706,33,2,659967
2022-11-04 13:06:21.490547,39,4,662660
2022-11-04 13:06:21.549429,34,2,664540
2022-11-04 13:06:21.597331,57,3,666156
2022-11-04 13:06:21.676169,35,2,668851
2022-11-04 13:06:21.807903,36,2,673162
2022-11-04 13:06:21.941629,37,2,677741
2022-11-04 13:06:22.028452,40,4,680703
2022-11-04 13:06:22.072364,38,2,682047
2022-11-04 13:06:22.125255,58,3,683931
2022-11-04 13:06:22.207088,39,2,686621
2022-11-04 13:06:22.331834,40,2,690920
2022-11-04 13:06:22.463567,41,2,695227
2022-11-04 13:06:22.556377,41,4,698457
2022-11-04 13:06:22.598293,42,2,699802
