时间,次数,架号,检测值
2022-11-18 11:46:31.455850,1,1,27246747
2022-11-18 11:46:31.455850,1,2,27245393
2022-11-18 11:46:31.456848,1,3,27248442
2022-11-18 11:46:31.456848,1,4,27247036
2022-11-18 11:46:31.457846,1,5,27168243
2022-11-18 11:46:31.457846,1,6,1.3454259e-316
2022-11-18 11:46:31.457846,1,8,40192.6171875
2022-11-18 11:46:31.458845,1,9,40370.625
2022-11-18 11:46:31.458845,1,10,40394.625
2022-11-18 11:46:34.135342,2,2,27256592
2022-11-18 11:46:35.216523,2,3,27258876
2022-11-18 11:46:36.257772,2,4,27261078
2022-11-18 11:46:36.467418,3,4,27261500
2022-11-18 11:46:36.499364,4,4,27261585
2022-11-18 11:46:39.275693,3,2,27267467
2022-11-18 11:46:39.540248,4,2,27268026
2022-11-18 11:46:40.357873,3,3,27269753
2022-11-18 11:46:41.158526,2,6,1.34738846e-316
2022-11-18 11:46:42.855670,5,4,27275041
2022-11-18 11:46:43.039361,6,4,27275430
2022-11-18 11:46:44.385097,5,2,27278273
2022-11-18 11:46:45.490238,4,3,27280610
2022-11-18 11:46:49.437597,7,4,27288963
2022-11-18 11:46:49.526447,6,2,27289150
2022-11-18 11:46:49.722119,8,4,27289556
2022-11-18 11:46:49.895826,7,2,27289931
2022-11-18 11:46:50.696479,5,3,27291622
2022-11-18 11:46:51.023928,6,3,27292317
2022-11-18 11:46:51.064860,7,3,27292403
2022-11-18 11:46:54.715717,8,2,27300126
2022-11-18 11:46:56.533659,9,4,27303971
2022-11-18 11:46:59.160239,8,3,27309530
2022-11-18 11:46:59.856069,9,2,27311004
2022-11-18 11:47:01.131922,3,6,1.3494761e-316
2022-11-18 11:47:03.124570,10,4,27317915
2022-11-18 11:47:03.412086,11,4,27318526
2022-11-18 11:47:05.045338,10,2,27321980
2022-11-18 11:47:07.449294,9,3,27327064
2022-11-18 11:47:07.745796,10,3,27327691
2022-11-18 11:47:09.858241,12,4,27332160
2022-11-18 11:47:10.145757,13,4,27332770
2022-11-18 11:47:10.275539,11,2,27333043
2022-11-18 11:47:15.454825,12,2,27344003
2022-11-18 11:47:15.744339,11,3,27344615
2022-11-18 11:47:16.176611,12,3,27345527
2022-11-18 11:47:16.443164,14,4,27346087
2022-11-18 11:47:16.615871,15,4,27346461
2022-11-18 11:47:16.729680,16,4,27346698
2022-11-18 11:47:20.085035,4,6,1.3514572e-316
2022-11-18 11:47:20.589187,13,2,27354865
2022-11-18 11:47:23.015106,17,4,27359994
2022-11-18 11:47:23.239728,18,4,27360468
2022-11-18 11:47:24.803098,13,3,27363772
2022-11-18 11:47:25.257333,14,3,27364736
2022-11-18 11:47:25.867307,14,2,27366027
2022-11-18 11:47:26.306568,15,2,27366955
2022-11-18 11:47:29.607015,19,4,27373936
2022-11-18 11:47:29.798692,20,4,27374341
2022-11-18 11:47:31.079537,16,2,27377054
2022-11-18 11:47:33.050223,15,3,27381220
2022-11-18 11:47:36.180955,21,4,27387847
2022-11-18 11:47:36.284780,17,2,27388068
2022-11-18 11:47:36.493429,22,4,27388508
2022-11-18 11:47:36.732028,18,2,27389016
2022-11-18 11:47:38.919348,5,6,1.3534256e-316
2022-11-18 11:47:40.072408,23,4,27396080
2022-11-18 11:47:40.289044,24,4,27396538
2022-11-18 11:47:40.360922,25,4,27396688
2022-11-18 11:47:41.394184,16,3,27398871
2022-11-18 11:47:41.569889,19,2,27399247
2022-11-18 11:47:41.859401,17,3,27399856
2022-11-18 11:47:43.966856,26,4,27404311
2022-11-18 11:47:44.108618,2,9,40425.75390625
2022-11-18 11:47:44.166520,27,4,27404734
2022-11-18 11:47:44.221427,3,9,40467.75390625
2022-11-18 11:47:46.697262,20,2,27410088
2022-11-18 11:47:47.111565,21,2,27410972
2022-11-18 11:47:47.863300,28,4,27412563
2022-11-18 11:47:47.955147,4,9,40425.75390625
2022-11-18 11:47:48.119869,29,4,27413104
2022-11-18 11:47:48.193744,5,9,40383.75390625
2022-11-18 11:47:49.627333,18,3,27416290
2022-11-18 11:47:51.796683,30,4,27420882
2022-11-18 11:47:51.819644,22,2,27420933
2022-11-18 11:47:51.941439,6,9,40334.24609375
2022-11-18 11:47:52.077211,31,4,27421474
2022-11-18 11:47:52.125130,7,9,40284.75390625
2022-11-18 11:47:55.671164,32,4,27429078
2022-11-18 11:47:55.897783,33,4,27429553
2022-11-18 11:47:57.024887,23,2,27431942
2022-11-18 11:47:57.321388,24,2,27432572
2022-11-18 11:47:57.753660,6,6,1.3553942e-316
2022-11-18 11:47:57.866471,19,3,27433724
2022-11-18 11:47:57.913392,2,10,40384.125
2022-11-18 11:47:59.579589,34,4,27437347
2022-11-18 11:47:59.749304,35,4,27437699
2022-11-18 11:48:02.278049,25,2,27443057
2022-11-18 11:48:03.464053,36,4,27445560
2022-11-18 11:48:03.671704,37,4,27446002
2022-11-18 11:48:05.798128,2,1,27450506
2022-11-18 11:48:06.121582,20,3,27451190
2022-11-18 11:48:06.259351,2,8,40312.125
2022-11-18 11:48:07.371479,38,4,27453830
2022-11-18 11:48:08.059323,26,2,27455287
2022-11-18 11:48:11.262933,39,4,27462060
2022-11-18 11:48:11.607353,40,4,27462792
2022-11-18 11:48:12.231303,27,2,27464111
2022-11-18 11:48:14.371702,21,3,27468638
2022-11-18 11:48:14.826936,22,3,27469602
2022-11-18 11:48:15.626591,41,4,27471297
2022-11-18 11:48:15.836238,42,4,27471738
2022-11-18 11:48:15.900131,28,2,27471873
2022-11-18 11:48:15.906120,43,4,27471889
2022-11-18 11:48:16.588972,7,6,1.3573629e-316
2022-11-18 11:48:16.790632,3,10,40042.125
2022-11-18 11:48:19.053825,29,2,27478545
2022-11-18 11:48:19.519042,44,4,27479526
2022-11-18 11:48:19.914377,45,4,27480344
2022-11-18 11:48:20.298730,30,2,27481173
2022-11-18 11:48:20.680089,31,2,27481986
2022-11-18 11:48:22.620823,23,3,27486085
2022-11-18 11:48:22.714666,3,8,40597.125
2022-11-18 11:48:22.937291,24,3,27486761
2022-11-18 11:48:23.012165,25,3,27486912
2022-11-18 11:48:23.019154,32,2,27486929
2022-11-18 11:48:23.506334,46,4,27487963
2022-11-18 11:48:23.635117,8,9,40286.4375
2022-11-18 11:48:23.923631,47,4,27488847
2022-11-18 11:48:23.939605,48,4,27488881
2022-11-18 11:48:25.358219,33,2,27491881
2022-11-18 11:48:27.976813,49,4,27497417
2022-11-18 11:48:28.257341,9,9,40331.4375
2022-11-18 11:48:29.824703,34,2,27501332
2022-11-18 11:48:30.849979,26,3,27503501
2022-11-18 11:48:32.877567,50,4,27507788
2022-11-18 11:48:33.189044,51,4,27508446
2022-11-18 11:48:33.228976,10,9,40317.75390625
2022-11-18 11:48:33.309840,52,4,27508701
2022-11-18 11:48:34.293186,35,2,27510783
2022-11-18 11:48:35.432269,8,6,1.35933225e-316
2022-11-18 11:48:38.066837,53,4,27518762
2022-11-18 11:48:38.250528,11,9,40269.9375
2022-11-18 11:48:38.377315,54,4,27519425
2022-11-18 11:48:38.530057,12,9,40320.9375
2022-11-18 11:48:38.546031,55,4,27519779
2022-11-18 11:48:38.562004,13,9,40307.625
2022-11-18 11:48:38.738707,36,2,27520184
2022-11-18 11:48:39.914728,27,3,27522678
2022-11-18 11:48:43.183229,37,2,27529589
2022-11-18 11:48:43.270083,56,4,27529775
2022-11-18 11:48:43.425822,57,4,27530098
2022-11-18 11:48:43.736298,58,4,27530757
2022-11-18 11:48:47.698632,38,2,27539143
