时间,次数,架号,检测值
2022-11-12 14:30:57.834823,1,1,20031604
2022-11-12 14:30:57.834823,1,2,20031012
2022-11-12 14:30:57.835820,1,3,20030370
2022-11-12 14:30:57.835820,1,4,20025402
2022-11-12 14:30:57.836818,1,5,20040406
2022-11-12 14:30:58.259774,2,4,20051681
2022-11-12 14:30:58.504170,2,3,20056648
2022-11-12 14:30:58.537089,2,2,20057291
2022-11-12 14:30:58.572003,2,1,20058044
2022-11-12 14:30:59.003937,2,5,20066674
2022-11-12 14:30:59.569541,3,4,20077959
2022-11-12 14:30:59.856831,3,2,20083728
2022-11-12 14:30:59.883765,3,1,20084318
2022-11-12 14:30:59.899725,3,3,20084529
2022-11-12 14:31:00.397499,3,5,20094564
2022-11-12 14:31:00.881303,4,4,20104239
2022-11-12 14:31:01.172583,4,2,20110006
2022-11-12 14:31:01.196524,4,1,20110596
2022-11-12 14:31:01.209492,4,3,20110806
2022-11-12 14:31:01.715246,4,5,20120839
2022-11-12 14:31:02.194062,5,4,20130519
2022-11-12 14:31:02.485345,5,2,20136281
2022-11-12 14:31:02.524247,5,1,20137077
2022-11-12 14:31:02.524247,5,3,20137086
2022-11-12 14:31:03.020024,5,5,20147117
2022-11-12 14:31:03.515800,6,4,20156955
2022-11-12 14:31:03.803092,6,2,20162717
2022-11-12 14:31:03.835013,6,1,20163295
2022-11-12 14:31:03.838007,6,3,20163356
2022-11-12 14:31:04.336774,6,5,20173398
2022-11-12 14:31:04.827563,7,4,20183231
2022-11-12 14:31:05.106872,7,2,20188830
2022-11-12 14:31:05.146774,7,3,20189633
2022-11-12 14:31:05.225579,7,1,20191179
2022-11-12 14:31:05.649533,7,5,20199677
2022-11-12 14:31:06.139324,8,4,20209506
2022-11-12 14:31:06.434595,8,2,20215429
2022-11-12 14:31:06.469508,8,3,20216070
2022-11-12 14:31:06.533351,8,1,20217452
2022-11-12 14:31:06.957304,8,5,20225950
2022-11-12 14:31:07.453083,9,4,20235777
2022-11-12 14:31:07.755335,9,2,20241867
2022-11-12 14:31:07.780273,9,3,20242349
2022-11-12 14:31:07.852097,9,1,20243771
2022-11-12 14:31:08.275052,9,5,20252226
2022-11-12 14:31:08.762848,10,4,20262051
2022-11-12 14:31:09.066099,10,2,20268147
2022-11-12 14:31:09.092035,10,3,20268627
2022-11-12 14:31:09.158870,10,1,20270004
2022-11-12 14:31:09.581826,10,5,20278501
2022-11-12 14:31:10.156408,11,4,20289935
2022-11-12 14:31:10.403797,11,3,20294905
2022-11-12 14:31:10.460657,11,2,20296026
2022-11-12 14:31:10.475620,11,1,20296277
2022-11-12 14:31:10.900571,11,5,20304822
2022-11-12 14:31:11.467172,12,4,20316214
2022-11-12 14:31:11.724538,12,3,20321184
2022-11-12 14:31:11.772419,12,2,20322305
2022-11-12 14:31:11.788379,12,1,20322640
2022-11-12 14:31:12.211335,12,5,20331094
2022-11-12 14:31:12.778934,13,4,20342492
2022-11-12 14:31:13.084181,13,2,20348584
2022-11-12 14:31:13.100143,13,1,20348873
2022-11-12 14:31:13.109121,13,3,20349064
2022-11-12 14:31:13.605893,13,5,20358950
2022-11-12 14:31:14.093689,14,4,20368773
2022-11-12 14:31:14.397939,14,2,20374861
2022-11-12 14:31:14.420884,14,1,20375150
2022-11-12 14:31:14.431856,14,3,20375343
2022-11-12 14:31:14.910672,14,5,20385182
2022-11-12 14:31:15.414430,15,4,20395209
2022-11-12 14:31:15.709700,15,2,20401139
2022-11-12 14:31:15.717680,15,1,20401383
2022-11-12 14:31:15.731646,15,3,20401620
2022-11-12 14:31:16.224430,15,5,20411502
2022-11-12 14:31:16.734171,16,4,20421649
2022-11-12 14:31:17.031437,16,2,20427579
2022-11-12 14:31:17.038420,16,1,20427701
2022-11-12 14:31:17.052386,16,3,20427896
2022-11-12 14:31:17.551154,16,5,20437787
2022-11-12 14:31:18.062891,17,4,20448089
2022-11-12 14:31:18.341204,17,2,20453851
2022-11-12 14:31:18.376118,17,3,20454493
2022-11-12 14:31:18.427990,17,1,20455576
2022-11-12 14:31:18.848951,17,5,20464061
2022-11-12 14:31:19.365676,18,4,20474366
2022-11-12 14:31:19.652966,18,2,20480130
2022-11-12 14:31:19.686883,18,3,20480769
2022-11-12 14:31:19.740750,18,1,20481844
2022-11-12 14:31:20.166701,18,5,20490333
2022-11-12 14:31:20.680431,19,4,20500643
2022-11-12 14:31:20.982684,19,2,20506724
2022-11-12 14:31:21.000640,19,3,20507045
2022-11-12 14:31:21.053510,19,1,20508085
2022-11-12 14:31:21.479459,19,5,20516616
2022-11-12 14:31:21.990198,20,4,20526919
2022-11-12 14:31:22.285468,20,2,20532839
2022-11-12 14:31:22.309409,20,3,20533320
2022-11-12 14:31:22.365271,20,1,20534396
2022-11-12 14:31:22.789225,20,5,20542930
2022-11-12 14:31:23.388745,21,4,20554796
2022-11-12 14:31:23.624164,21,3,20559602
2022-11-12 14:31:23.679030,21,1,20560678
2022-11-12 14:31:23.681026,21,2,20560724
2022-11-12 14:31:24.100987,21,5,20569168
2022-11-12 14:31:24.695520,22,4,20581070
2022-11-12 14:31:24.935926,22,3,20585881
2022-11-12 14:31:24.990790,22,2,20587003
2022-11-12 14:31:24.998771,22,1,20587115
2022-11-12 14:31:25.414744,22,5,20595445
2022-11-12 14:31:25.431702,23,5,20595811
2022-11-12 14:31:26.007281,23,4,20607347
2022-11-12 14:31:26.314526,23,1,20613386
2022-11-12 14:31:26.316521,23,2,20613281
2022-11-12 14:31:26.342454,23,3,20614082
2022-11-12 14:31:26.809303,24,5,20623325
2022-11-12 14:31:27.319045,24,4,20633627
2022-11-12 14:31:27.614314,24,2,20639557
2022-11-12 14:31:27.617307,24,1,20639667
2022-11-12 14:31:27.655213,24,3,20640361
2022-11-12 14:31:28.118071,25,5,20649640
2022-11-12 14:31:28.639783,25,4,20660065
2022-11-12 14:31:28.928072,25,2,20665836
2022-11-12 14:31:28.936053,25,1,20665944
2022-11-12 14:31:28.967973,25,3,20666639
2022-11-12 14:31:29.429833,26,5,20675869
2022-11-12 14:31:29.952544,26,4,20686341
2022-11-12 14:31:30.246816,26,1,20692214
2022-11-12 14:31:30.246816,26,2,20692273
2022-11-12 14:31:30.281730,26,3,20692913
2022-11-12 14:31:30.745587,27,5,20702137
2022-11-12 14:31:31.263307,27,4,20712620
2022-11-12 14:31:31.552594,27,2,20718388
2022-11-12 14:31:31.596487,27,3,20719191
2022-11-12 14:31:31.633394,27,1,20720094
2022-11-12 14:31:32.050364,28,5,20728398
2022-11-12 14:31:32.576067,28,4,20738899
2022-11-12 14:31:32.873333,28,2,20744828
2022-11-12 14:31:32.908248,28,3,20745470
2022-11-12 14:31:32.966104,28,1,20746531
2022-11-12 14:31:33.369109,29,5,20754714
2022-11-12 14:31:33.888827,29,4,20765178
2022-11-12 14:31:34.177115,29,2,20770946
2022-11-12 14:31:34.219011,29,3,20771747
2022-11-12 14:31:34.271881,29,1,20772806
2022-11-12 14:31:34.687854,30,5,20781158
2022-11-12 14:31:34.712793,31,5,20781635
2022-11-12 14:31:35.203581,30,4,20791454
2022-11-12 14:31:35.490874,30,2,20797221
2022-11-12 14:31:35.529776,30,3,20798021
2022-11-12 14:31:35.579653,30,1,20799074
2022-11-12 14:31:35.994629,32,5,20807393
2022-11-12 14:31:36.594148,31,4,20819334
2022-11-12 14:31:36.841538,31,3,20824296
2022-11-12 14:31:36.883434,31,2,20825094
2022-11-12 14:31:36.900392,31,1,20825506
2022-11-12 14:31:37.323351,33,5,20833870
2022-11-12 14:31:37.904913,32,4,20845608
2022-11-12 14:31:38.153300,32,3,20850569
2022-11-12 14:31:38.194199,32,2,20851369
2022-11-12 14:31:38.211157,32,1,20851781
2022-11-12 14:31:38.628128,34,5,20860143
2022-11-12 14:31:39.220665,33,4,20871884
2022-11-12 14:31:39.504963,33,2,20877646
2022-11-12 14:31:39.523917,33,1,20878057
2022-11-12 14:31:39.552845,33,3,20878608
2022-11-12 14:31:40.019693,35,5,20888022
2022-11-12 14:31:40.529434,34,4,20898160
2022-11-12 14:31:40.820715,34,2,20903924
2022-11-12 14:31:40.841664,34,1,20904340
2022-11-12 14:31:40.876578,34,3,20905048
2022-11-12 14:31:41.337440,36,5,20914299
2022-11-12 14:31:41.857157,35,4,20924750
2022-11-12 14:31:42.131480,35,2,20930202
2022-11-12 14:31:42.148439,35,1,20930612
2022-11-12 14:31:42.188340,35,3,20931324
2022-11-12 14:31:42.649202,37,5,20940572
2022-11-12 14:31:43.170914,36,4,20951026
2022-11-12 14:31:43.450225,36,2,20956640
2022-11-12 14:31:43.461198,36,1,20956884
2022-11-12 14:31:43.499106,36,3,20957600
2022-11-12 14:31:43.963957,38,5,20966850
2022-11-12 14:31:44.483675,37,4,20977305
2022-11-12 14:31:44.763982,37,2,20982915
2022-11-12 14:31:44.810866,37,3,20983877
2022-11-12 14:31:44.852764,37,1,20984761
2022-11-12 14:31:45.273724,39,5,20993116
2022-11-12 14:31:45.298662,40,5,20993618
2022-11-12 14:31:45.794438,38,4,21003585
2022-11-12 14:31:46.075744,38,2,21009194
2022-11-12 14:31:46.124625,38,3,21010158
2022-11-12 14:31:46.178490,38,1,21011235
2022-11-12 14:31:46.583492,41,5,21019390
2022-11-12 14:31:47.107198,39,4,21029862
2022-11-12 14:31:47.387508,39,2,21035473
2022-11-12 14:31:47.433393,39,3,21036434
2022-11-12 14:31:47.490252,39,1,21037513
2022-11-12 14:31:47.893257,42,5,21045659
2022-11-12 14:31:48.419958,40,4,21056140
2022-11-12 14:31:48.699268,40,2,21061748
2022-11-12 14:31:48.747150,40,3,21062711
2022-11-12 14:31:48.797027,40,1,21063743
2022-11-12 14:31:49.212004,43,5,21071924
2022-11-12 14:31:49.828481,41,4,21084342
2022-11-12 14:31:50.067891,41,3,21089151
2022-11-12 14:31:50.094825,41,2,21089631
2022-11-12 14:31:50.115771,41,1,21090062
2022-11-12 14:31:50.526758,44,5,21098357
2022-11-12 14:31:51.144235,42,4,21110621
2022-11-12 14:31:51.379652,42,3,21115428
2022-11-12 14:31:51.411573,42,2,21116069
2022-11-12 14:31:51.427533,42,1,21116344
2022-11-12 14:31:51.846500,45,5,21124639
2022-11-12 14:31:52.452005,43,4,21136901
2022-11-12 14:31:52.723335,43,2,21142343
2022-11-12 14:31:52.739295,43,1,21142613
2022-11-12 14:31:52.771217,43,3,21143306
2022-11-12 14:31:53.230084,46,5,21152518
2022-11-12 14:31:53.763767,44,4,21163178
2022-11-12 14:31:54.037092,44,2,21168621
2022-11-12 14:31:54.047067,44,1,21168891
2022-11-12 14:31:54.083976,44,3,21169578
2022-11-12 14:31:54.550824,47,5,21178841
2022-11-12 14:31:55.078522,45,4,21189454
2022-11-12 14:31:55.358829,45,2,21195056
2022-11-12 14:31:55.370800,45,1,21195323
2022-11-12 14:31:55.396736,45,3,21195855
2022-11-12 14:31:55.859593,48,5,21205114
2022-11-12 14:31:56.388288,46,4,21215733
2022-11-12 14:31:56.669594,46,2,21221331
2022-11-12 14:31:56.684557,46,1,21221595
2022-11-12 14:31:56.709496,46,3,21222134
2022-11-12 14:31:57.167365,49,5,21231350
2022-11-12 14:31:57.702045,47,4,21242011
2022-11-12 14:31:57.981357,47,2,21247612
2022-11-12 14:31:58.020260,47,3,21248414
2022-11-12 14:31:58.076122,47,1,21249482
2022-11-12 14:31:58.493093,50,5,21257665
2022-11-12 14:31:59.013807,48,4,21268281
2022-11-12 14:31:59.292120,48,2,21273892
2022-11-12 14:31:59.340002,48,3,21274694
2022-11-12 14:31:59.389880,48,1,21275754
2022-11-12 14:31:59.796875,51,5,21283938
2022-11-12 14:32:00.324572,49,4,21294556
2022-11-12 14:32:00.606875,49,2,21300171
2022-11-12 14:32:00.646777,49,3,21300974
2022-11-12 14:32:00.701642,49,1,21302033
2022-11-12 14:32:01.109634,52,5,21310210
2022-11-12 14:32:01.638329,50,4,21320837
2022-11-12 14:32:01.916642,50,2,21326447
2022-11-12 14:32:01.958539,50,3,21327249
2022-11-12 14:32:02.021383,50,1,21328301
2022-11-12 14:32:02.422393,53,5,21336490
2022-11-12 14:32:03.040869,51,4,21348878
2022-11-12 14:32:03.278281,51,3,21353528
2022-11-12 14:32:03.311200,51,2,21354329
2022-11-12 14:32:03.321175,51,1,21354583
2022-11-12 14:32:03.729168,54,5,21362766
2022-11-12 14:32:04.358614,52,4,21375317
2022-11-12 14:32:04.593036,52,3,21379966
2022-11-12 14:32:04.631941,52,2,21380767
2022-11-12 14:32:04.641916,52,1,21380858
2022-11-12 14:32:05.041928,55,5,21389031
2022-11-12 14:32:05.673371,53,4,21401594
2022-11-12 14:32:05.942704,53,2,21407042
2022-11-12 14:32:05.949687,53,1,21407167
2022-11-12 14:32:05.990586,53,3,21407843
2022-11-12 14:32:06.432495,56,5,21416891
2022-11-12 14:32:06.982138,54,4,21427871
2022-11-12 14:32:07.255463,54,2,21433320
2022-11-12 14:32:07.257459,54,1,21433405
2022-11-12 14:32:07.302348,54,3,21434282
2022-11-12 14:32:07.752238,57,5,21443177
2022-11-12 14:32:08.297891,55,4,21454148
2022-11-12 14:32:08.569221,55,2,21459596
2022-11-12 14:32:08.577201,55,1,21459720
2022-11-12 14:32:08.615107,55,3,21460556
2022-11-12 14:32:09.057016,58,5,21469460
2022-11-12 14:32:09.607657,56,4,21480427
2022-11-12 14:32:09.880983,56,2,21485872
2022-11-12 14:32:09.887965,56,1,21485996
2022-11-12 14:32:09.930860,56,3,21486832
2022-11-12 14:32:10.374764,59,5,21495735
2022-11-12 14:32:10.919420,57,4,21506706
2022-11-12 14:32:11.201722,57,2,21512149
2022-11-12 14:32:11.240626,57,3,21513107
2022-11-12 14:32:11.279530,57,1,21513868
2022-11-12 14:32:11.682536,60,5,21522012
2022-11-12 14:32:12.240159,58,4,21532983
2022-11-12 14:32:12.502512,58,2,21538423
2022-11-12 14:32:12.552389,58,3,21539385
2022-11-12 14:32:12.587303,58,1,21540102
2022-11-12 14:32:12.998288,61,5,21548284
2022-11-12 14:32:13.552919,59,4,21559422
2022-11-12 14:32:13.823251,59,2,21564860
2022-11-12 14:32:13.864150,59,3,21565662
2022-11-12 14:32:13.907045,59,1,21566421
2022-11-12 14:32:14.315038,62,5,21574563
2022-11-12 14:32:14.863683,60,4,21585698
