时间,次数,架号,检测值
2022-10-25 17:18:56.774857,11,3,11184248
2022-10-25 17:18:59.387047,88,1,11200814
2022-10-25 17:19:00.212160,12,3,11206050
2022-10-25 17:19:02.822350,89,1,11222617
2022-10-25 17:19:03.657453,13,3,11227901
2022-10-25 17:19:06.262652,90,1,11244418
2022-10-25 17:19:07.086763,14,3,11249653
2022-10-25 17:19:09.701952,91,1,11266220
2022-10-25 17:19:10.524067,15,3,11271457
2022-10-25 17:19:13.153239,92,1,11288126
2022-10-25 17:19:13.960369,16,3,11293208
2022-10-25 17:19:14.387910,17,3,11295953
2022-10-25 17:19:16.591541,93,1,11309929
2022-10-25 17:19:18.591388,4,4,11322632
2022-10-25 17:19:20.026846,94,1,11331728
2022-10-25 17:19:23.463148,95,1,11353531
2022-10-25 17:19:26.901451,96,1,11375335
2022-10-25 17:19:30.338752,97,1,11397137
2022-10-25 17:19:33.777055,98,1,11418938
2022-10-25 17:19:37.213359,99,1,11440741
2022-10-25 17:19:40.650660,100,1,11462544
2022-10-25 17:19:41.933281,18,3,11470676
2022-10-25 17:19:44.089963,101,1,11484345
2022-10-25 17:19:45.373582,19,3,11492477
2022-10-25 17:19:47.526264,102,1,11506146
2022-10-25 17:19:48.818876,20,3,11514329
2022-10-25 17:19:50.972559,103,1,11528002
2022-10-25 17:19:52.255180,21,3,11536134
2022-10-25 17:19:54.408861,104,1,11549804
2022-10-25 17:19:55.682492,22,3,11557886
2022-10-25 17:19:57.848163,105,1,11571605
2022-10-25 17:19:59.130785,23,3,11579737
2022-10-25 17:20:01.293458,106,1,11593459
2022-10-25 17:20:02.262415,5,4,11599610
2022-10-25 17:20:02.364304,6,4,11600220
2022-10-25 17:20:02.423241,7,4,11600626
2022-10-25 17:20:02.559095,24,3,11601489
2022-10-25 17:20:04.729760,107,1,11615262
2022-10-25 17:20:05.997397,25,3,11623293
2022-10-25 17:20:08.168063,108,1,11637064
2022-10-25 17:20:09.433701,26,3,11645095
2022-10-25 17:20:11.621348,109,1,11658966
2022-10-25 17:20:12.879995,27,3,11666946
2022-10-25 17:20:15.084622,110,1,11680923
2022-10-25 17:20:16.316298,28,3,11688750
2022-10-25 17:20:18.520927,111,1,11702725
2022-10-25 17:20:19.754600,29,3,11710553
2022-10-25 17:20:21.958229,112,1,11724526
2022-10-25 17:20:23.199894,30,3,11732405
2022-10-25 17:20:25.395532,113,1,11746328
2022-10-25 17:20:26.629205,31,3,11754155
2022-10-25 17:20:28.831836,114,1,11768132
2022-10-25 17:20:30.067507,32,3,11775960
2022-10-25 17:20:32.271136,115,1,11789935
2022-10-25 17:20:33.510802,33,3,11797812
2022-10-25 17:20:35.708439,116,1,11811735
2022-10-25 17:20:36.971080,34,3,11819766
2022-10-25 17:20:39.153733,117,1,11833589
2022-10-25 17:20:40.413378,35,3,11841568
2022-10-25 17:20:42.591036,118,1,11855393
2022-10-25 17:20:43.848684,36,3,11863372
2022-10-25 17:20:46.028339,119,1,11877195
2022-10-25 17:20:47.286985,37,3,11885174
2022-10-25 17:20:48.962182,8,4,11895797
2022-10-25 17:20:49.472634,120,1,11899046
2022-10-25 17:20:50.419615,9,4,11905045
2022-10-25 17:20:50.722288,38,3,11906974
2022-10-25 17:20:52.911935,121,1,11920850
2022-10-25 17:20:53.862910,10,4,11926899
2022-10-25 17:20:54.168583,39,3,11928829
2022-10-25 17:20:56.348238,122,1,11942653
2022-10-25 17:20:57.301212,11,4,11948700
2022-10-25 17:20:57.598894,40,3,11950582
2022-10-25 17:20:59.784541,123,1,11964453
2022-10-25 17:21:00.738516,12,4,11970502
2022-10-25 17:21:01.043189,41,3,11972434
2022-10-25 17:21:03.222844,124,1,11986255
2022-10-25 17:21:04.175819,13,4,11992306
2022-10-25 17:21:04.503465,42,3,11994388
2022-10-25 17:21:06.661147,125,1,12008060
2022-10-25 17:21:07.622112,14,4,12014159
2022-10-25 17:21:07.942767,43,3,12016192
2022-10-25 17:21:10.113430,126,1,12029964
2022-10-25 17:21:11.061412,15,4,12035960
2022-10-25 17:21:11.380070,44,3,12037994
2022-10-25 17:21:13.551734,127,1,12051764
2022-10-25 17:21:14.496716,16,4,12057762
2022-10-25 17:21:14.818371,45,3,12059794
2022-10-25 17:21:16.987037,128,1,12073567
2022-10-25 17:21:17.935019,17,4,12079566
2022-10-25 17:21:18.253674,46,3,12081597
2022-10-25 17:21:20.429336,129,1,12095371
2022-10-25 17:21:21.372322,18,4,12101368
2022-10-25 17:21:21.692976,47,3,12103401
2022-10-25 17:21:23.863641,130,1,12117173
2022-10-25 17:21:24.833598,19,4,12123321
2022-10-25 17:21:25.132277,48,3,12125203
2022-10-25 17:21:27.315927,131,1,12139075
2022-10-25 17:21:28.270901,20,4,12145125
2022-10-25 17:21:28.568582,49,3,12147004
2022-10-25 17:21:30.754230,132,1,12160879
2022-10-25 17:21:31.708204,21,4,12166928
2022-10-25 17:21:31.996893,50,3,12168757
2022-10-25 17:21:34.192530,133,1,12182682
2022-10-25 17:21:35.145506,22,4,12188729
2022-10-25 17:21:35.459170,51,3,12190711
2022-10-25 17:21:37.635826,134,1,12204533
2022-10-25 17:21:38.590801,23,4,12210530
2022-10-25 17:21:38.903464,52,3,12212564
2022-10-25 17:21:41.077125,135,1,12226335
2022-10-25 17:21:42.030101,24,4,12232386
2022-10-25 17:21:42.340767,53,3,12234365
2022-10-25 17:21:44.511432,136,1,12248140
2022-10-25 17:21:45.467404,25,4,12254188
2022-10-25 17:21:45.777069,54,3,12256170
2022-10-25 17:21:47.958723,137,1,12269941
2022-10-25 17:21:48.903707,26,4,12275988
2022-10-25 17:21:49.222363,55,3,12278023
2022-10-25 17:21:51.387035,138,1,12291742
2022-10-25 17:21:52.363984,27,4,12297943
2022-10-25 17:21:52.660666,56,3,12299824
2022-10-25 17:21:54.827334,139,1,12313545
2022-10-25 17:21:55.803286,28,4,12319748
2022-10-25 17:21:56.090977,57,3,12321575
2022-10-25 17:21:58.261642,140,1,12335349
2022-10-25 17:21:59.240589,29,4,12341549
2022-10-25 17:21:59.544262,58,3,12343481
2022-10-25 17:22:01.699944,141,1,12357151
2022-10-25 17:22:02.677892,30,4,12363350
2022-10-25 17:22:02.973572,59,3,12365232
2022-10-25 17:22:05.138245,142,1,12378951
2022-10-25 17:22:06.116192,31,4,12385153
2022-10-25 17:22:06.409876,60,3,12387032
2022-10-25 17:22:08.573548,143,1,12400755
2022-10-25 17:22:09.551497,32,4,12406956
2022-10-25 17:22:09.852175,61,3,12408835
2022-10-25 17:22:11.380529,2,5,12418541
2022-10-25 17:22:12.013848,144,1,12422557
2022-10-25 17:22:12.932860,3,5,12428402
2022-10-25 17:22:12.998790,33,4,12428758
2022-10-25 17:22:13.293473,62,3,12430689
2022-10-25 17:22:15.449153,145,1,12444359
2022-10-25 17:22:16.427101,34,4,12450558
2022-10-25 17:22:16.723783,63,3,12452439
2022-10-25 17:22:18.895446,146,1,12466212
2022-10-25 17:22:19.873395,35,4,12472363
2022-10-25 17:22:20.164083,64,3,12474241
2022-10-25 17:22:22.330751,147,1,12488015
2022-10-25 17:22:23.318691,36,4,12494267
2022-10-25 17:22:23.598388,65,3,12496045
2022-10-25 17:22:25.770051,148,1,12509817
2022-10-25 17:22:26.765980,37,4,12516119
2022-10-25 17:22:27.043683,66,3,12517899
2022-10-25 17:22:29.208354,149,1,12531618
2022-10-25 17:22:30.201287,38,4,12537921
2022-10-25 17:22:30.481984,67,3,12539700
2022-10-25 17:22:32.644658,150,1,12553421
2022-10-25 17:22:33.647579,39,4,12559776
2022-10-25 17:22:33.910296,68,3,12561452
2022-10-25 17:22:36.082960,151,1,12575225
2022-10-25 17:22:37.084882,40,4,12581578
2022-10-25 17:22:37.348599,69,3,12583255
2022-10-25 17:22:39.522260,152,1,12597027
2022-10-25 17:22:40.529176,41,4,12603378
2022-10-25 17:22:40.786900,70,3,12605057
2022-10-25 17:22:42.956565,153,1,12618827
2022-10-25 17:22:43.958488,42,4,12625181
2022-10-25 17:22:44.224203,71,3,12626857
2022-10-25 17:22:46.394867,154,1,12640631
2022-10-25 17:22:47.403781,43,4,12647035
2022-10-25 17:22:47.660506,72,3,12648662
2022-10-25 17:22:49.831172,155,1,12662433
2022-10-25 17:22:50.841084,44,4,12668837
2022-10-25 17:22:51.104800,73,3,12670515
2022-10-25 17:22:53.270472,156,1,12684234
2022-10-25 17:22:54.278387,45,4,12690638
2022-10-25 17:22:54.535110,74,3,12692265
2022-10-25 17:22:56.708773,157,1,12706037
2022-10-25 17:22:57.715691,46,4,12712442
2022-10-25 17:22:57.981403,75,3,12714066
2022-10-25 17:23:00.145076,158,1,12727841
