647.34224	697.84	640
646.86988	698.01	635
646.63563	697.8	633
646.35221	697.55	629
646.32509	697.28	626
646.41271	696.96	627
646.52924	696.53	620
646.78792	696.05	620
646.90564	695.6	629
646.89342	695.17	627
646.75186	694.75	627
646.62431	694.3	628
646.28516	693.87	631
646.16028	693.43	627
645.99309	693	628
646.09919	692.62	624
646.27741	692.27	618
646.75871	691.83	627
646.9867	691.37	624
647.28025	690.9	621
647.27876	690.43	626
647.08147	689.9	625
646.88001	689.38	625
646.47827	688.81	629
646.12899	688.26	628
646.0679	687.7	637
646.17101	687.26	629
646.31913	686.91	631
646.63682	686.54	629
646.86719	686.17	618
647.04899	685.86	629
646.98402	685.48	627
646.9119	685.17	626
646.6404	684.84	629
646.51225	684.53	630
646.35489	684.22	638
646.28784	683.93	626
646.26668	683.67	639
646.48394	683.41	636
646.61507	683.16	630
646.8207	683.05	627
646.88925	682.95	604
646.72534	682.92	600
646.53997	682.9	597
646.17399	682.89	596
645.99995	682.92	581
645.75736	682.96	590
645.74782	683.07	
645.84557	683.2	
645.99518	683.33	
646.12422	683.48	
646.23717	683.64	
646.23151	683.81	
646.12422	684.09	
645.99995	684.42	
645.71742	684.77	
645.58599	685.13	
645.57497	685.47	
645.77375	685.83	
645.90756	686.17	
646.19038	686.54	
646.32509	686.93	
646.41182	687.21	
646.32479	687.43	
646.188	687.65	
645.83752	687.81	
645.69298	687.97	
645.48437	688.09	
645.4644	688.2	
645.58689	688.32	
645.69298	688.43	
645.94749	688.61	
646.08935	688.82	
646.10038	689.03	
645.98028	689.27	
645.85541	689.64	
645.56752	690.02	
645.32969	690.43	
645.28499	690.85	
645.34459	691.37	
645.49986	691.84	
645.77703	692.28	
645.89474	692.82	
646.06492	693.34	
646.05985	693.76	
645.75736	694.18	
645.44384	694.59	
645.2087	694.98	
644.87819	695.25	
644.74259	695.51	
644.76673	695.76	
644.82514	695.88	
645.07757	696.01	
645.20422	696.1	
645.47096	696.2	
645.51983	696.26	
645.51864	696.3	
645.34251	696.33	
645.21436	696.38	
645.05253	696.44	
645.02899	696.53	
644.95776	696.61	
645.17442	696.75	
645.23939	696.88	
645.39019	697.02	
645.45725	697.16	
645.50076	697.4	
645.40956	697.62	
645.16161	697.86	
644.97922	698.07	
644.71547	698.33	
644.58046	698.53	
644.59507	698.73	
644.73007	698.92	
