2022-08-18 15:43:50 091	211853	1374735	1378664	7552020	4072313	131981	1320539	-2	48431117
2022-08-18 15:43:50 091	211853	1374394	1378380	7551248	4072218	131981	1320539	-2	48431117
2022-08-18 15:43:50 091	211853	1374718	1378701	7551919	4070066	131981	1320539	-2	48431117
2022-08-18 15:43:50 091	211853	1374351	1378311	7552075	4071732	131981	1320539	-2	48431117
2022-08-18 15:43:50 091	211853	1374815	1378769	7552415	4071180	131981	1320539	-2	48431117
2022-08-18 15:43:50 091	211853	1374500	1378433	7552739	4070586	131981	1320539	-2	48431117
2022-08-18 15:43:50 091	211853	1374584	1378592	7552188	4070908	131981	1320539	-2	48431117
2022-08-18 15:43:50 091	211853	1374568	1378499	7551673	4071250	131981	1320539	-2	48431117
2022-08-18 15:43:50 091	211853	1374310	1378379	7551477	4070670	131981	1320539	-2	48431117
2022-08-18 15:43:50 091	211853	1374785	1378750	7550781	4071185	131981	1320539	-2	48431117
2022-08-18 15:43:50 091	211853	1374683	1378611	7550257	4072279	131981	1320539	-2	48431117
2022-08-18 15:43:50 091	211853	1374355	1378345	7550013	4070801	131981	1320539	-2	48431117
2022-08-18 15:43:50 091	211853	1374942	1378819	7549100	4071868	131981	1320539	-2	48431117
2022-08-18 15:43:50 091	211853	1374438	1378429	7548447	4072441	131981	1320539	-2	48431117
2022-08-18 15:43:50 091	211853	1374774	1378695	7548234	4072199	131981	1320539	-2	48431117
2022-08-18 15:43:50 091	211853	1374859	1378769	7548060	4072958	131981	1320539	-2	48431117
2022-08-18 15:43:50 091	211853	1374484	1378488	7548218	4071766	131981	1320539	-2	48431117
2022-08-18 15:43:50 091	211853	1374858	1378765	7548106	4072227	131981	1320539	-2	48431117
2022-08-18 15:43:50 091	211853	1374387	1378395	7548245	4073435	131981	1320539	-2	48431117
2022-08-18 15:43:50 091	211853	1374788	1378680	7547374	4070791	131981	1320539	-2	48431117
2022-08-18 15:43:50 091	211853	1374522	1378443	7547271	4070993	131981	1320539	-2	48431117
2022-08-18 15:43:50 091	211853	1374520	1378531	7546052	4072034	131981	1320539	-2	48431117
2022-08-18 15:43:50 091	211853	1374626	1378530	7545761	4071188	131981	1320539	-2	48431117
2022-08-18 15:43:50 091	211853	1374263	1378233	7546296	4071938	131981	1320539	-2	48431117
2022-08-18 15:43:50 091	211853	1374861	1378773	7545557	4071766	131981	1320539	-2	48431117
2022-08-18 15:43:50 091	211853	1374772	1378656	7546354	4071018	131981	1320539	-2	48431117
2022-08-18 15:43:50 091	211853	1374527	1378566	7546232	4072114	131981	1320539	-2	48431117
2022-08-18 15:43:50 091	211853	1374821	1378732	7546266	4070692	131981	1320539	-2	48431117
2022-08-18 15:43:50 091	211854	1374462	1378357	7546928	4070681	131981	1320539	-2	48431117
