PID     	进程名                                     	工作目录的绝对路径
4320    	Serv_SpUsb.exe                          	C:\Windows\SysWOW64\Serv_SpUsb.exe
4348    	ctfmon.exe                              	C:\Windows\System32\ctfmon.exe
4360    	WmiPrvSE.exe                            	C:\Windows\System32\wbem\WmiPrvSE.exe
4456    	svchost.exe                             	C:\Windows\System32\svchost.exe
4464    	svchost.exe                             	C:\Windows\System32\svchost.exe
4500    	svchost.exe                             	C:\Windows\System32\svchost.exe
4712    	svchost.exe                             	C:\Windows\System32\svchost.exe
4752    	wsctrlsvc.exe                           	D:\Program Files (x86)\Huorong\Sysdiag\bin\wsctrlsvc.exe
4780    	svchost.exe                             	C:\Windows\System32\svchost.exe
4804    	RAVBg64.exe                             	C:\Program Files\Realtek\Audio\HDA\RAVBg64.exe
4824    	svchost.exe                             	C:\Windows\System32\svchost.exe
4888    	spoolsv.exe                             	C:\Windows\System32\spoolsv.exe
5084    	ChsIME.exe                              	C:\Windows\System32\InputMethod\CHS\ChsIME.exe
5140    	Microsoft.Photos.exe                    	C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2022.30070.26007.0_x64__8wekyb3d8bbwe\Microsoft.Photos.exe
5148    	svchost.exe                             	C:\Windows\System32\svchost.exe
5152    	ServiceHub.SettingsHost.exe             	C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.x86\ServiceHub.SettingsHost.exe
5184    	mysqld.exe                              	D:\MariaDB 10.3\bin\mysqld.exe
5224    	svchost.exe                             	C:\Windows\System32\svchost.exe
5332    	NetmanageServerService.exe              	C:\Program Files (x86)\Common Files\Schneider Electric Shared\NetmanageServer\4.1\NetmanageServerService.exe
5376    	svchost.exe                             	C:\Windows\System32\svchost.exe
5384    	svchost.exe                             	C:\Windows\System32\svchost.exe
5428    	SystemSettings.exe                      	C:\Windows\ImmersiveControlPanel\SystemSettings.exe
5436    	conhost.exe                             	C:\Windows\System32\conhost.exe
5468    	TcNcI.exe                               	C:\TwinCAT\3.1\Components\Mc\Nci\TcNcI.exe
5512    	mDNSResponder.exe                       	C:\Program Files\Bonjour\mDNSResponder.exe
5520    	CodeMeter.exe                           	C:\Program Files (x86)\CodeMeter\Runtime\bin\CodeMeter.exe
5556    	CommonService.exe                       	C:\Program Files\EsafeNet\Cobra DocGuard Client\CommonService.exe
5564    	svchost.exe                             	C:\Windows\System32\svchost.exe
5572    	svchost.exe                             	C:\Windows\System32\svchost.exe
5588    	svchost.exe                             	C:\Windows\System32\svchost.exe
5608    	Snipaste.exe                            	G:\桌面\right\HarmonyOS\day03\资料\Snipaste.exe
5612    	GatewayService.exe                      	D:\Schneider Electric\SoMachine Software\Tools\Gateway\GatewayService.exe
5620    	ServiceControl.exe                      	D:\Inovance Control\AM600\GatewayPLC\ServiceControl.exe
5636    	FNPLicensingService.exe                 	C:\Program Files (x86)\Common Files\Macrovision Shared\FlexNet Publisher\FNPLicensingService.exe
5644    	FNPLicensingService64.exe               	C:\Program Files\Common Files\Macrovision Shared\FlexNet Publisher\FNPLicensingService64.exe
5652    	esif_uf.exe                             	C:\Windows\System32\DriverStore\FileRepository\dptf_cpu.inf_amd64_82b77f8c4618e2d0\esif_uf.exe
5668    	diskSnService.exe                       	C:\Program Files (x86)\Common Files\GstarSoft\diskSnService.exe
5684    	SchneiderElectric.GatewayServiceHosting.exe	D:\Schneider Electric\SoMachine Software\Tools\Gateway\SchneiderElectric.GatewayServiceHosting.exe
5700    	EwServer.exe                            	D:\SOLIDWORKS Corp\SOLIDWORKS Electrical\server\EwServer.exe
5720    	HiviewService.exe                       	C:\Program Files\Huawei\Hiview\HiviewService.exe
5728    	CdgTwin32.exe                           	C:\Program Files\EsafeNet\Cobra DocGuard Client\CdgTwin32.exe
5732    	LockApp.exe                             	C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe
5744    	HistorySvr.exe                          	D:\kingview\HistorySvr.exe
5764    	OneApp.IGCC.WinService.exe              	C:\Windows\System32\DriverStore\FileRepository\igcc_dch.inf_amd64_54b736e5be5b50b2\OneApp.IGCC.WinService.exe
5780    	svchost.exe                             	C:\Windows\System32\svchost.exe
5804    	Kingdee.BOS.DeskClient.WinService.exe   	C:\Program Files (x86)\Kingdee\K3Cloud\DeskClient\WinService\Kingdee.BOS.DeskClient.WinService.exe
5840    	LCD_Service.exe                         	C:\Program Files\Huawei\HwLcdEnhancement\LCD_Service.exe
5848    	svchost.exe                             	C:\Windows\System32\svchost.exe
5856    	lkads.exe                               	C:\Windows\SysWOW64\lkads.exe
5884    	LogCenterSer.exe                        	C:\Inovance Control\AutoShop\LogCenterSer.exe
5900    	MateBookService.exe                     	C:\Program Files\Huawei\PCManager\MateBookService.exe
5928    	svchost.exe                             	C:\Windows\System32\svchost.exe
5948    	sqlservr.exe                            	C:\ProgramData\SOLIDWORKS Electrical\MSSQL12.TEW_SQLEXPRESS\MSSQL\Binn\sqlservr.exe
6020    	NA_Service.exe                          	C:\Windows\System32\NA_Service.exe
6108    	nisvcloc.exe                            	D:\Multisim\Shared\nisvcloc\nisvcloc.exe
6116    	svchost.exe                             	C:\Windows\System32\svchost.exe
6124    	niauth_daemon.exe                       	D:\Multisim\Shared\niauth\niauth_daemon.exe
6152    	SutService.exe                          	C:\Program Files (x86)\Schneider Electric\Software Update\SutService.exe
6160    	CdgTwin64.exe                           	C:\Program Files\EsafeNet\Cobra DocGuard Client\CdgTwin64.exe
6168    	spnsrvnt.exe                            	C:\Program Files (x86)\Common Files\SafeNet Sentinel\Sentinel Protection Server\WinNT\spnsrvnt.exe
6176    	sntlkeyssrvr.exe                        	C:\Program Files (x86)\Common Files\SafeNet Sentinel\Sentinel Keys Server\sntlkeyssrvr.exe
6184    	sntlsrtsrvr.exe                         	C:\Program Files (x86)\Common Files\SafeNet Sentinel\Sentinel Security Runtime\sntlsrtsrvr.exe
6192    	sqlwriter.exe                           	C:\Program Files\Microsoft SQL Server\90\Shared\sqlwriter.exe
