
----------------------JudgeData--------------------------
2022-11-30 14:50:21,352 [3] FATAL LnkjetRecordMarking.C_LogHelper - (116)  º‹∫≈:1,ºÏ≤‚÷µ:4084
2022-11-30 14:50:21,361 [3] FATAL LnkjetRecordMarking.C_LogHelper - (116)  º‹∫≈:2,ºÏ≤‚÷µ:5625
2022-11-30 14:50:21,361 [3] FATAL LnkjetRecordMarking.C_LogHelper - (116)  º‹∫≈:3,ºÏ≤‚÷µ:12190690
2022-11-30 14:50:21,361 [3] FATAL LnkjetRecordMarking.C_LogHelper - (116)  º‹∫≈:4,ºÏ≤‚÷µ:12190690
2022-11-30 14:50:21,361 [3] FATAL LnkjetRecordMarking.C_LogHelper - (116)  º‹∫≈:5,ºÏ≤‚÷µ:10847924
2022-11-30 14:50:21,374 [3] FATAL LnkjetRecordMarking.C_LogHelper - (116)  º‹∫≈:1,ºÏ≤‚÷µ:66167
2022-11-30 14:50:21,379 [3] FATAL LnkjetRecordMarking.C_LogHelper - (116)  º‹∫≈:2,ºÏ≤‚÷µ:5666
2022-11-30 14:50:21,391 [3] FATAL LnkjetRecordMarking.C_LogHelper - (116)  º‹∫≈:1,ºÏ≤‚÷µ:4292
2022-11-30 14:50:21,391 [3] FATAL LnkjetRecordMarking.C_LogHelper - (116)  º‹∫≈:2,ºÏ≤‚÷µ:6042
2022-11-30 14:50:21,404 [3] FATAL LnkjetRecordMarking.C_LogHelper - (116)  º‹∫≈:1,ºÏ≤‚÷µ:4417
2022-11-30 14:50:21,404 [3] FATAL LnkjetRecordMarking.C_LogHelper - (116)  º‹∫≈:2,ºÏ≤‚÷µ:5958
2022-11-30 14:50:21,418 [3] FATAL LnkjetRecordMarking.C_LogHelper - (116)  º‹∫≈:1,ºÏ≤‚÷µ:4667
2022-11-30 14:50:21,418 [3] FATAL LnkjetRecordMarking.C_LogHelper - (116)  º‹∫≈:2,ºÏ≤‚÷µ:6000
2022-11-30 14:50:21,431 [3] FATAL LnkjetRecordMarking.C_LogHelper - (116)  º‹∫≈:1,ºÏ≤‚÷µ:4208
2022-11-30 14:50:21,444 [3] FATAL LnkjetRecordMarking.C_LogHelper - (116)  º‹∫≈:1,ºÏ≤‚÷µ:4584
2022-11-30 14:50:21,444 [3] FATAL LnkjetRecordMarking.C_LogHelper - (116)  º‹∫≈:2,ºÏ≤‚÷µ:6041
2022-11-30 14:50:21,457 [3] FATAL LnkjetRecordMarking.C_LogHelper - (116)  º‹∫≈:1,ºÏ≤‚÷µ:4625
2022-11-30 14:50:21,457 [3] FATAL LnkjetRecordMarking.C_LogHelper - (116)  º‹∫≈:2,ºÏ≤‚÷µ:5625
2022-11-30 14:50:21,470 [3] FATAL LnkjetRecordMarking.C_LogHelper - (116)  º‹∫≈:1,ºÏ≤‚÷µ:4459
2022-11-30 14:50:21,470 [3] FATAL LnkjetRecordMarking.C_LogHelper - (116)  º‹∫≈:2,ºÏ≤‚÷µ:5875
2022-11-30 14:50:21,483 [3] FATAL LnkjetRecordMarking.C_LogHelper - (116)  º‹∫≈:1,ºÏ≤‚÷µ:4125
2022-11-30 14:50:21,496 [3] FATAL LnkjetRecordMarking.C_LogHelper - (116)  º‹∫≈:1,ºÏ≤‚÷µ:4500
2022-11-30 14:50:21,496 [3] FATAL LnkjetRecordMarking.C_LogHelper - (116)  º‹∫≈:2,ºÏ≤‚÷µ:5792
2022-11-30 14:50:21,509 [3] FATAL LnkjetRecordMarking.C_LogHelper - (116)  º‹∫≈:1,ºÏ≤‚÷µ:4167
2022-11-30 14:50:21,509 [3] FATAL LnkjetRecordMarking.C_LogHelper - (116)  º‹∫≈:2,ºÏ≤‚÷µ:5791
2022-11-30 14:50:21,522 [3] FATAL LnkjetRecordMarking.C_LogHelper - (116)  º‹∫≈:1,ºÏ≤‚÷µ:4375
2022-11-30 14:50:21,522 [3] FATAL LnkjetRecordMarking.C_LogHelper - (116)  º‹∫≈:2,ºÏ≤‚÷µ:6000
2022-11-30 14:50:21,535 [3] FATAL LnkjetRecordMarking.C_LogHelper - (116)  º‹∫≈:1,ºÏ≤‚÷µ:3958
2022-11-30 14:50:21,553 [3] FATAL LnkjetRecordMarking.C_LogHelper - (116)  º‹∫≈:1,ºÏ≤‚÷µ:4000
2022-11-30 14:50:21,554 [3] FATAL LnkjetRecordMarking.C_LogHelper - (116)  º‹∫≈:2,ºÏ≤‚÷µ:5792
2022-11-30 14:50:21,567 [3] FATAL LnkjetRecordMarking.C_LogHelper - (116)  º‹∫≈:1,ºÏ≤‚÷µ:4791
2022-11-30 14:50:21,567 [3] FATAL LnkjetRecordMarking.C_LogHelper - (116)  º‹∫≈:2,ºÏ≤‚÷µ:5709
2022-11-30 14:50:21,581 [3] FATAL LnkjetRecordMarking.C_LogHelper - (116)  º‹∫≈:1,ºÏ≤‚÷µ:4166
2022-11-30 14:50:21,581 [3] FATAL LnkjetRecordMarking.C_LogHelper - (116)  º‹∫≈:2,ºÏ≤‚÷µ:5875
